timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666099428468,1246,HomePage,200,OK,Thread Group 1-2,text,true,,114009,126,4,4,https://automationstepbystep.com/,998,0,492
1666099428196,1609,HomePage,200,OK,Thread Group 1-1,text,true,,114014,126,4,4,https://automationstepbystep.com/,1299,0,744
1666099428976,962,HomePage,200,OK,Thread Group 1-3,text,true,,114004,126,4,4,https://automationstepbystep.com/,691,0,200
1666099429725,610,TrainingPage,200,OK,Thread Group 1-2,text,true,,134271,602,5,5,https://automationstepbystep.com/trainings-2/,521,0,0
1666099429807,633,TrainingPage,200,OK,Thread Group 1-1,text,true,,134272,602,5,5,https://automationstepbystep.com/trainings-2/,523,0,0
1666099429940,687,TrainingPage,200,OK,Thread Group 1-3,text,true,,134292,602,6,6,https://automationstepbystep.com/trainings-2/,592,0,0
1666099429497,1149,HomePage,200,OK,Thread Group 1-4,text,true,,114004,126,6,6,https://automationstepbystep.com/,734,0,211
1666099430338,609,AboutPage,200,OK,Thread Group 1-2,text,true,,100556,674,6,6,https://automationstepbystep.com/about-me/,598,0,0
1666099429961,987,HomePage,200,OK,Thread Group 1-5,text,true,,114014,126,6,6,https://automationstepbystep.com/,718,0,201
1666099430441,658,AboutPage,200,OK,Thread Group 1-1,text,true,,100558,674,6,6,https://automationstepbystep.com/about-me/,648,0,0
1666099430628,618,AboutPage,200,OK,Thread Group 1-3,text,true,,100551,674,5,5,https://automationstepbystep.com/about-me/,606,0,0
1666099430949,988,TrainingPage,200,OK,Thread Group 1-5,text,true,,134288,602,5,5,https://automationstepbystep.com/trainings-2/,880,0,0
1666099430469,1621,HomePage,200,OK,Thread Group 1-6,text,true,,114019,126,6,6,https://automationstepbystep.com/,900,0,206
1666099430961,1279,HomePage,200,OK,Thread Group 1-7,text,true,,114024,126,6,6,https://automationstepbystep.com/,1018,0,190
1666099431459,1078,HomePage,200,OK,Thread Group 1-8,text,true,,114004,126,7,7,https://automationstepbystep.com/,790,0,237
1666099431939,666,AboutPage,200,OK,Thread Group 1-5,text,true,,100561,674,7,7,https://automationstepbystep.com/about-me/,576,0,0
1666099430647,2125,TrainingPage,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 2,125 milliseconds, but should not have lasted longer than 2,000 milliseconds.",134286,602,6,6,https://automationstepbystep.com/trainings-2/,559,0,0
1666099432241,641,TrainingPage,200,OK,Thread Group 1-7,text,true,,134276,602,6,6,https://automationstepbystep.com/trainings-2/,550,0,0
1666099431962,1038,HomePage,200,OK,Thread Group 1-9,text,true,,114004,126,7,7,https://automationstepbystep.com/,751,0,202
1666099432538,624,TrainingPage,200,OK,Thread Group 1-8,text,true,,134281,602,7,7,https://automationstepbystep.com/trainings-2/,524,0,0
1666099432884,566,AboutPage,200,OK,Thread Group 1-7,text,true,,100551,674,7,7,https://automationstepbystep.com/about-me/,558,0,0
1666099432461,1158,HomePage,200,OK,Thread Group 1-10,text,true,,114019,126,7,7,https://automationstepbystep.com/,760,0,205
1666099432091,1726,TrainingPage,200,OK,Thread Group 1-6,text,true,,134277,602,7,7,https://automationstepbystep.com/trainings-2/,542,0,0
1666099433001,862,TrainingPage,200,OK,Thread Group 1-9,text,true,,134286,602,7,7,https://automationstepbystep.com/trainings-2/,761,0,0
1666099433163,819,AboutPage,200,OK,Thread Group 1-8,text,true,,100565,674,8,8,https://automationstepbystep.com/about-me/,810,0,0
1666099432776,1285,AboutPage,200,OK,Thread Group 1-4,text,true,,100535,674,7,7,https://automationstepbystep.com/about-me/,641,0,0
1666099432962,1289,HomePage,200,OK,Thread Group 1-11,text,true,,114029,126,6,6,https://automationstepbystep.com/,985,0,221
1666099433864,508,AboutPage,200,OK,Thread Group 1-9,text,true,,100567,674,6,6,https://automationstepbystep.com/about-me/,498,0,0
1666099433463,940,HomePage,200,OK,Thread Group 1-12,text,true,,114004,126,5,5,https://automationstepbystep.com/,687,0,191
1666099433620,845,TrainingPage,200,OK,Thread Group 1-10,text,true,,134271,602,6,6,https://automationstepbystep.com/trainings-2/,543,0,0
1666099434252,963,TrainingPage,200,OK,Thread Group 1-11,text,true,,134250,602,7,7,https://automationstepbystep.com/trainings-2/,863,0,0
1666099434466,847,AboutPage,200,OK,Thread Group 1-10,text,true,,100552,674,7,7,https://automationstepbystep.com/about-me/,654,0,0
1666099434404,909,TrainingPage,200,OK,Thread Group 1-12,text,true,,134286,602,7,7,https://automationstepbystep.com/trainings-2/,825,0,0
1666099433818,1555,AboutPage,200,OK,Thread Group 1-6,text,true,,100552,674,6,6,https://automationstepbystep.com/about-me/,602,0,0
1666099433965,1432,HomePage,200,OK,Thread Group 1-13,text,true,,114039,126,5,5,https://automationstepbystep.com/,1137,0,203
1666099434464,1018,HomePage,200,OK,Thread Group 1-14,text,true,,114014,126,6,6,https://automationstepbystep.com/,756,0,186
1666099435216,798,AboutPage,200,OK,Thread Group 1-11,text,true,,100540,674,7,7,https://automationstepbystep.com/about-me/,782,0,0
1666099435316,732,AboutPage,200,OK,Thread Group 1-12,text,true,,100562,674,6,6,https://automationstepbystep.com/about-me/,716,0,0
1666099434967,1232,HomePage,200,OK,Thread Group 1-15,text,true,,114004,126,5,5,https://automationstepbystep.com/,953,0,218
1666099435483,732,TrainingPage,200,OK,Thread Group 1-14,text,true,,134277,602,5,5,https://automationstepbystep.com/trainings-2/,650,0,0
1666099435399,1061,TrainingPage,200,OK,Thread Group 1-13,text,true,,134256,602,6,6,https://automationstepbystep.com/trainings-2/,706,0,0
1666099435461,1377,HomePage,200,OK,Thread Group 1-16,text,true,,114024,126,6,6,https://automationstepbystep.com/,810,0,207
1666099436216,765,AboutPage,200,OK,Thread Group 1-14,text,true,,100547,674,7,7,https://automationstepbystep.com/about-me/,749,0,0
1666099436200,866,TrainingPage,200,OK,Thread Group 1-15,text,true,,134270,602,6,6,https://automationstepbystep.com/trainings-2/,768,0,0
1666099436462,703,AboutPage,200,OK,Thread Group 1-13,text,true,,100550,674,6,6,https://automationstepbystep.com/about-me/,688,0,0
1666099435964,1391,HomePage,200,OK,Thread Group 1-17,text,true,,114004,126,5,5,https://automationstepbystep.com/,1127,0,187
1666099437067,789,AboutPage,200,OK,Thread Group 1-15,text,true,,100557,674,6,6,https://automationstepbystep.com/about-me/,774,0,0
1666099436839,1042,TrainingPage,200,OK,Thread Group 1-16,text,true,,134281,602,5,5,https://automationstepbystep.com/trainings-2/,549,0,0
1666099436956,1193,HomePage,200,OK,Thread Group 1-19,text,true,,114009,126,5,5,https://automationstepbystep.com/,939,0,193
1666099437356,859,TrainingPage,200,OK,Thread Group 1-17,text,true,,134283,602,5,5,https://automationstepbystep.com/trainings-2/,762,0,0
1666099437462,1038,HomePage,200,OK,Thread Group 1-20,text,true,,114004,126,5,5,https://automationstepbystep.com/,792,0,160
1666099437883,940,AboutPage,200,OK,Thread Group 1-16,text,true,,100556,674,5,5,https://automationstepbystep.com/about-me/,621,0,0
1666099438151,859,TrainingPage,200,OK,Thread Group 1-19,text,true,,134260,602,4,4,https://automationstepbystep.com/trainings-2/,765,0,0
1666099438216,1038,AboutPage,200,OK,Thread Group 1-17,text,true,,100562,674,4,4,https://automationstepbystep.com/about-me/,1013,0,0
1666099438502,759,TrainingPage,200,OK,Thread Group 1-20,text,true,,134281,602,3,3,https://automationstepbystep.com/trainings-2/,672,0,0
1666099436461,3069,HomePage,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 3,069 milliseconds, but should not have lasted longer than 2,000 milliseconds.",114009,126,3,3,https://automationstepbystep.com/,1935,0,1222
1666099439012,778,AboutPage,200,OK,Thread Group 1-19,text,true,,100569,674,3,3,https://automationstepbystep.com/about-me/,595,0,0
1666099439263,628,AboutPage,200,OK,Thread Group 1-20,text,true,,100561,674,2,2,https://automationstepbystep.com/about-me/,604,0,0
1666099439532,1434,TrainingPage,200,OK,Thread Group 1-18,text,true,,134276,602,1,1,https://automationstepbystep.com/trainings-2/,586,0,0
1666099440970,1461,AboutPage,200,OK,Thread Group 1-18,text,true,,100528,674,1,1,https://automationstepbystep.com/about-me/,804,0,0
